CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
,,,,,Deprivation; classification of household [E][S][W] : Total\ Classification of household deprivation - Unit : Households,Deprivation; classification of household [E][S][W] : Household is not deprived in any dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 1 dimension - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 2 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 3 dimensions - Unit : Households,Deprivation; classification of household [E][S][W] : Household is deprived in 4 dimensions - Unit : Households,Population (usual residents) : All usual residents - Unit : Persons,Age : Total\ Age - Population (daytime/workday) [E][N][W] : Workday population - Sex : Total\ Sex - Unit : Persons,
335,E08000003,Manchester,Local Authorities,LA,204969,70540,68763,45745,18104,1817,503127,609505,
24198,E01005061,Manchester 018A,Lower Super Output Areas and Data Zones,LSOADZ,743,140,227,230,139,7,1648,4690,
24199,E01005062,Manchester 018B,Lower Super Output Areas and Data Zones,LSOADZ,772,241,274,174,75,8,2893,11539,
24200,E01005063,Manchester 018C,Lower Super Output Areas and Data Zones,LSOADZ,614,137,205,170,83,19,1486,1679,
24201,E01005065,Manchester 018D,Lower Super Output Areas and Data Zones,LSOADZ,916,233,296,274,103,10,2231,4078,
24202,E01005066,Manchester 018E,Lower Super Output Areas and Data Zones,LSOADZ,501,148,179,118,49,7,1700,2151,
24203,E01005067,Manchester 020A,Lower Super Output Areas and Data Zones,LSOADZ,587,105,167,195,110,10,1362,1362,
24204,E01005068,Manchester 051A,Lower Super Output Areas and Data Zones,LSOADZ,704,144,265,214,75,6,1578,1100,
24205,E01005069,Manchester 047A,Lower Super Output Areas and Data Zones,LSOADZ,641,302,192,113,32,2,1447,1297,
24206,E01005070,Manchester 051B,Lower Super Output Areas and Data Zones,LSOADZ,740,220,234,204,77,5,1682,8832,
24207,E01005071,Manchester 048A,Lower Super Output Areas and Data Zones,LSOADZ,684,219,216,180,65,4,1592,1217,
24208,E01005072,Manchester 048B,Lower Super Output Areas and Data Zones,LSOADZ,811,297,242,177,87,8,1703,1294,
24209,E01005073,Manchester 048C,Lower Super Output Areas and Data Zones,LSOADZ,615,254,222,116,22,1,1492,892,
24210,E01005074,Manchester 051C,Lower Super Output Areas and Data Zones,LSOADZ,644,169,214,181,79,1,1522,1320,
24211,E01005075,Manchester 051D,Lower Super Output Areas and Data Zones,LSOADZ,612,180,194,171,62,5,1390,2619,
24212,E01005076,Manchester 039A,Lower Super Output Areas and Data Zones,LSOADZ,782,499,198,64,19,2,1483,882,
24213,E01005077,Manchester 042A,Lower Super Output Areas and Data Zones,LSOADZ,630,186,188,166,83,7,1558,1267,
24214,E01005078,Manchester 042B,Lower Super Output Areas and Data Zones,LSOADZ,824,472,249,72,28,3,1453,1122,
24215,E01005079,Manchester 042C,Lower Super Output Areas and Data Zones,LSOADZ,628,306,167,115,39,1,1565,1647,
24216,E01005081,Manchester 039C,Lower Super Output Areas and Data Zones,LSOADZ,784,233,267,177,94,13,1770,1344,
24217,E01005082,Manchester 037A,Lower Super Output Areas and Data Zones,LSOADZ,659,224,170,179,81,5,1548,1231,
24218,E01005083,Manchester 039D,Lower Super Output Areas and Data Zones,LSOADZ,888,524,252,83,26,3,1710,2444,
24219,E01005084,Manchester 042D,Lower Super Output Areas and Data Zones,LSOADZ,867,411,236,151,67,2,2018,1438,
24220,E01005085,Manchester 049A,Lower Super Output Areas and Data Zones,LSOADZ,599,185,215,144,52,3,1567,1125,
