Month,Crime.type,Longitude,Latitude
2016-02,Burglary,-2.438828,53.612133
2016-02,Burglary,-2.428078,53.622221
2016-02,Burglary,-2.427541,53.621477
2016-02,Burglary,-2.429102,53.614425
2016-02,Burglary,-2.437082,53.621586
2016-02,Burglary,-2.43295,53.622617
2016-02,Burglary,-2.428361,53.623353
2016-02,Burglary,-2.437082,53.621586
2016-02,Burglary,-2.4198,53.604732
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.430848,53.603246
2016-02,Burglary,-2.430848,53.603246
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.428982,53.604053
2016-02,Burglary,-2.422803,53.616344
2016-02,Burglary,-2.420242,53.618744
2016-02,Burglary,-2.42089,53.615496
2016-02,Burglary,-2.551784,53.595927
2016-02,Burglary,-2.430972,53.597691
2016-02,Burglary,-2.431299,53.601581
2016-02,Burglary,-2.436627,53.603863
2016-02,Burglary,-2.384915,53.597443
2016-02,Burglary,-2.388763,53.595283
2016-02,Burglary,-2.410526,53.597394
2016-02,Burglary,-2.389879,53.601616
2016-02,Burglary,-2.53392,53.597923
2016-02,Burglary,-2.531452,53.597511
2016-02,Burglary,-2.452497,53.595643
2016-02,Burglary,-2.447467,53.591446
2016-02,Burglary,-2.445236,53.591913
2016-02,Burglary,-2.460911,53.588537
2016-02,Burglary,-2.460075,53.589385
2016-02,Burglary,-2.45172,53.592185
2016-02,Burglary,-2.585686,53.595676
2016-02,Burglary,-2.409597,53.59977
2016-02,Burglary,-2.409597,53.59977
2016-02,Burglary,-2.438923,53.59217
